Kabupaten/Kota,Luas Panen Jahe (meter persegi) (M2),Luas Panen Kapulaga (meter persegi) (M2),Luas Panen Keji Beling (meter persegi) (M2),Luas Panen Kencur (meter persegi) (M2),Luas Panen Kunyit (meter persegi) (M2),Luas Panen Laos/Lengkuas (meter persegi) (M2),Luas Panen Lempuyang (meter persegi) (M2),Luas Panen Lidah Buaya (meter persegi) (M2),Luas Panen Mahkota Dewa (pohon) (Pohon),Luas Panen Mengkudu/Pace (pohon) (Pohon),Luas Panen Sambiloto (meter persegi) (M2),Luas Panen Temuireng (meter persegi) (M2),Luas Panen Temukunci (meter persegi) (M2),Luas Panen Temulawak (meter persegi) (M2),Luas Panen Jeruk Nipis (pohon) (Pohon),Luas Panen Serai (meter persegi) (Pohon)
Bogor,395155,422135,...,394387,189073,2448666,3050,45100,,650,500,,95700,700,22600,510025
Sukabumi,2780367,1895720,...,206570,731935,176150,3000,,,845,,15200,10800,12000,39143,143400
Cianjur,2020710,5137988,...,351232,321601,207488,880,5429,11328,26601,,,,1748,35026,198616
Bandung,339831,101032,...,37992,163466,45190,2010,1035,1275,2850,758,,5000,2425,18206,49910
Garut,10186087,16082183,...,94214,1185352,57275,,1486,,,,,,373,6628,28146
Tasikmalaya,493703,8993672,...,29574,44558,42344,7500,2620,1391,2584,130,,,2546,313,19874
Ciamis,1425623,1307115,...,304047,1699391,131121,,900,,2051,500,,,,14573,39191
Kuningan,141461,1355950,...,3570,53696,66046,,,,,,,,,240,
Cirebon,2700,300,...,700,10800,10800,600,150,,175,100,250,205,405,200,31194
Majalengka,565617,6581,...,3500,437885,37074,,600,,35,30,1100,,,947,250
Sumedang,889390,276967,...,2511914,723994,560069,,,,20000,,,,,950,750
Indramayu,7,,...,35,80,32,,,,,128,32,,,,83
Subang,532021,570,...,743137,346400,442700,,,,897,,,,,7700,221953
Purwakarta,33022,15950,...,9907,12638,5823,,320,20,230,,,,785,1600,915
Karawang,2425,1700,...,150055,14300,20342,4000,607,50,30,,1000,1000,1835,130,51650
Bekasi,5372,,...,504300,33100,251025,15500,,,,,,16700,10700,,59200
Bandung Barat,350255,151100,...,31860,187485,117314,600,14522,905,724,925,2600,2000,10400,5200,331870
Pangandaran,563104,1549790,...,29831,31965,3700,,,,,,,,,,2300
Kota Bogor,3100,1270,...,2275,1970,700,925,2450,250,50,1630,250,500,1290,250,1100
Kota Sukabumi,,,...,,,,,,,,,,,,,
Kota Bandung,2,,...,31,1,,,2,,,,,,,2,10
Kota Cirebon,,,...,,,,,,,,,,,,,
Kota Bekasi,32104,,...,7999,10273,25495,6000,50,50,100,,,,,,
Kota Depok,10350,,...,3100,3820,8100,,900,,,,,,200,10,7300
Kota Cimahi,700,,...,20,110,50,10,,,,50,,,10,600,
Kota Tasikmalaya,27230,29000,...,3510,11420,11200,,,,,,,,1400,,4400
Kota Banjar,13590,1941,...,8675,15360,4600,,,,,,,,,300,
Jawa Barat,20813926,37330964,...,5432435,6230673,4673304,44075,76171,15269,57822,4751,20432,131905,46817,154618,1702137
,,,,,,,,,,,,,,,,
Catatan,,,,,,,,,,,,,,,,
Angka sementara,,,,,,,,,,,,,,,,